,state,district,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
233,kerala,alapuzha,29.9,0.9,86.2,40.3,287.9,544.7,280.4,323.5,438.5,226.2,195.2,63.5
234,kerala,cannur,11.5,0.0,6.1,48.2,181.2,694.3,623.6,553.0,430.4,170.9,69.4,5.9
235,kerala,ernakulam,16.8,0.0,97.9,31.4,306.0,706.3,435.4,415.8,445.3,293.0,217.8,28.1
236,kerala,idukki,12.8,1.1,122.2,71.1,210.0,517.9,293.4,713.1,534.5,285.3,117.1,91.0
237,kerala,kasargod,18.1,0.0,0.0,15.5,71.8,858.7,752.8,702.8,331.4,126.2,39.5,14.4
238,kerala,kollam,21.5,1.3,147.6,137.7,356.8,532.5,128.5,282.4,412.2,322.5,369.0,258.5
239,kerala,kottayam,27.8,0.2,128.3,58.2,315.9,654.0,342.3,450.3,482.4,287.3,267.4,79.1
240,kerala,kozhikode,7.7,0.1,21.3,68.1,251.8,822.5,662.9,544.6,491.6,216.2,46.1,9.1
241,kerala,malappuram,4.0,0.0,29.4,26.6,122.9,568.8,427.0,459.7,472.7,211.1,95.6,37.1
242,kerala,palakkad,0.0,0.0,83.1,28.3,139.5,433.2,317.2,398.0,375.6,102.8,35.2,38.9
243,kerala,pathanamthitta,30.9,0.0,314.5,100.0,260.1,553.7,204.8,454.3,541.2,427.0,389.3,76.0
244,kerala,thiruvananthapuram,5.0,0.0,85.0,54.2,228.3,318.8,52.9,123.0,269.3,241.4,274.7,151.2
245,kerala,thrissur,1.4,0.0,43.6,12.9,175.7,674.8,419.3,427.2,354.7,188.0,113.0,15.5
246,kerala,wayanad,14.5,0.0,49.7,60.9,182.8,343.2,419.6,435.0,454.2,118.5,37.5,9.1
247,bihar,khagaria,0.0,0.0,4.3,29.1,51.7,132.4,331.7,179.4,103.9,100.7,0.0,0.0
248,telangana,khammam,0.0,0.0,16.1,0.8,58.4,258.0,231.9,275.9,115.0,72.0,0.7,0.0
249,bihar,kishanganj,0.0,0.0,66.3,6.3,200.2,170.8,623.0,1000.9,242.8,74.0,0.0,0.0
250,assam,kokrajhar,0.0,0.2,89.9,412.2,374.6,505.7,586.9,1196.4,661.0,312.3,0.2,0.0
251,andhra pradesh,krishna,0.0,0.0,8.4,0.4,25.1,176.6,217.6,210.4,101.4,111.2,15.6,1.0
252,andhra pradesh,kurnool,0.0,0.0,13.9,8.9,24.8,109.2,57.8,176.3,176.5,175.4,1.1,0.0
253,arunachal pradesh,kurung kumey,6.5,44.9,76.0,347.6,359.9,505.9,931.5,420.0,518.6,345.2,17.7,0.3
254,assam,lakhimpur,6.5,44.9,76.0,347.6,359.9,505.9,931.5,420.0,518.6,345.2,17.7,0.3
255,bihar,lakhisarai,0.0,0.0,0.0,0.0,29.1,92.7,296.4,224.4,114.2,130.9,0.0,0.0
256,lakshadweep,lakshadweep,21.3,0.9,100.2,1.8,145.7,521.9,164.2,206.2,216.0,137.1,63.5,160.1
257,arunachal pradesh,lohit,3.0,121.2,234.9,351.7,344.0,424.0,463.4,510.6,248.1,261.9,9.3,0.0
258,arunachal pradesh,lower  dibang valley,22.8,124.2,363.6,860.1,569.1,865.8,727.8,1388.1,330.2,320.5,6.2,5.4
259,arunachal pradesh,lower subansiri,0.0,0.0,59.5,28.2,128.5,143.6,408.2,246.9,120.5,61.7,0.0,0.0
260,bihar,madhepura,0.0,0.0,59.5,28.2,128.5,143.6,408.2,246.9,120.5,61.7,0.0,0.0
